,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,food_map_cpu,food_map_rx,food_map_tx,label,class
191,0.0713375475701361,0.336728198599618,0.2229437229437229,0.0822500285958135,0.0,0.0,0.0257902938298008,0.7627849661121381,0.4188428059395801,0.101830992725219,0.0,0.0,0.4296452357380276,0.8398018166804293,0.918550106609808,0.9032089314565636,0.722042908676666,0.7024927160893494,0,1
195,0.0720158692354606,0.0,0.0,0.1123058784193993,0.8536585365853658,0.7421875,0.0013872760490694,0.0,0.0,0.214437343128338,0.0,0.0,0.0028503766003855,0.0,0.0,0.8535359481373278,0.0730966394531991,0.0307542894140498,0,1
198,0.0825028058182594,0.1225334182049649,0.2056277056277056,0.0829709730495455,0.0,0.0,0.0010332041556309,0.0,0.0,0.0693176546924509,0.0,0.0,0.0023152491410368,0.0,0.0,0.6409662728132998,0.0,0.0,0,1
202,0.0532947488517187,0.0,0.0,0.1104009572998513,0.0,0.0,0.0023315576678935,0.0,0.0,0.2554485531019772,0.8208955223880597,1.0,0.0028450963980803,0.0,0.0,0.9594443627890384,0.0,0.0,0,1
203,0.0532947488517187,0.0,0.0,0.0521028921365911,0.0,0.0,0.0041324807585298,0.0,0.0,0.2554485531019772,0.8208955223880597,1.0,0.0016846715028792,0.0,0.0,0.9594443627890384,0.0,0.0,0,1
212,0.0482596094131054,0.0,0.0,0.0644634325534741,0.0,0.0,0.0030755269474521,0.0,0.0,0.0700700430656944,0.4104477611940298,0.5,0.0040453667329596,0.0,0.0,1.0000000000000002,0.0,0.0,0,1
213,0.0482596094131054,0.0,0.0,0.0644634325534741,0.0,0.0,0.0030755269474521,0.0,0.0,0.0700700430656944,0.4104477611940298,0.5,0.0040453667329596,0.0,0.0,1.0000000000000002,0.0,0.0,0,1
223,0.1846071761506908,0.0,0.0,0.1190423921937828,0.0,0.0,0.0021420184206744,0.0,0.0,0.182266652745876,0.8208955223880597,1.0,0.0019031829183848,0.0,0.0,0.952294402341882,0.0,0.0,0,1
224,0.1846071761506908,0.0,0.0,0.1190423921937828,0.0,0.0,0.0078300074672743,0.0,0.0,0.1163912405526647,0.0,0.0,0.0019031829183848,0.0,0.0,0.952294402341882,0.0,0.0,0,1
251,0.063162307857539,0.336728198599618,0.2229437229437229,0.1607777621356233,0.0,0.0,0.0229564566478919,0.7627849661121381,0.901689708141321,0.0978865156587874,0.4104477611940298,0.5,0.0206423961083608,0.4203137902559867,0.459275053304904,0.5156212891081922,0.3612113157395101,0.3516510197474911,0,2
291,0.1089059738240455,0.0,0.0,0.1094729131655125,0.0,0.0,0.0015680573882053,0.0,0.0,0.0981596177481672,0.0,0.0,0.0014900788298811,0.0,0.0,0.9041791454739528,0.0,0.0,0,1
293,0.0222274307201188,0.0,0.0,0.0322718054076883,0.0,0.0,0.0088683360932363,0.0,0.0,0.0904588045030487,0.0,0.0,0.0018912594180706,0.0,0.0,0.8931500344195874,0.0,0.0,0,1
294,0.101676295528666,0.0,0.0,0.06455944849674,0.0,0.0,0.0088683360932363,0.0,0.0,0.0904588045030487,0.0,0.0,0.0096872055025753,0.0,0.0,0.8931500344195874,0.0,0.0,0,1
312,0.0671906849223411,0.336728198599618,0.2229437229437229,0.0986680949908933,0.0,0.0,0.0094539302331302,0.381392483056069,0.4513568868407578,0.107272538717783,0.4104477611940298,0.5,0.0051415635151565,0.0,0.4443496801705757,0.3626868295419355,0.3612113157395101,0.4849465846552283,0,2
313,0.139708109936566,0.0,0.0,0.0986680949908933,0.0,0.0,0.007496810029941,0.0,0.0,0.1096197451934733,0.0,0.0,0.0029454967665504,0.0,0.0,0.927316153522467,0.0,0.0,0,1
357,0.0691716178373307,0.1225334182049649,0.2056277056277056,0.0869153255963327,0.4268292682926829,0.37109375,0.004294947332302,0.0,0.0,0.0729585487435552,0.0,0.0,0.0014797814788275,0.0794797687861271,0.0405117270788912,0.9015242764528506,0.0730966394531991,0.0307542894140498,0,1
371,0.0767779939946063,0.6734563971992361,0.4458874458874459,0.0617232937098008,0.073170731707317,0.12890625,0.0214949902781113,0.7627849661121381,0.4188428059395801,0.0870179634256917,0.0,0.0,0.0019778949113284,0.0,0.0,0.4688188521626756,0.3612113157395101,0.3517319520880544,0,3
